Time (UTC),Actual_Load_MW,mean_global_radiation,mean_wind_speed,precipitation_mm,temperature_2m_C,is_public_holiday,is_weekend,is_special_day,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos
2023-07-26 02:15:00+00:00,37.23613403,0.0,0.9,0.0,14.2,0,0,0,0.5555702330196022,0.8314696123025452,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 02:30:00+00:00,35.0,0.0,1.15,0.0,14.25,0,0,0,0.6087614290087207,0.7933533402912352,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 02:45:00+00:00,35.0,0.0,0.9,0.0,14.3,0,0,0,0.6593458151000688,0.7518398074789774,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 03:00:00+00:00,35.0,0.0,0.75,0.0,14.2,0,0,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 03:15:00+00:00,35.0,0.0,1.1,0.0,14.1,0,0,0,0.7518398074789774,0.6593458151000688,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 03:30:00+00:00,35.0,0.0,0.9,0.0,14.2,0,0,0,0.7933533402912352,0.6087614290087207,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 03:45:00+00:00,35.0,0.0,1.0,0.0,14.3,0,0,0,0.8314696123025451,0.5555702330196024,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 04:00:00+00:00,36.60086366,0.0,0.75,0.0,14.35,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 04:15:00+00:00,35.0,1.0,0.9,0.0,14.4,0,0,0,0.8968727415326884,0.44228869021900125,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 04:30:00+00:00,37.64213827,9.0,0.6,0.0,14.35,0,0,0,0.9238795325112867,0.38268343236508984,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 04:45:00+00:00,40.34396959,6.0,0.6,0.0,14.5,0,0,0,0.9469301294951056,0.3214394653031617,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 05:00:00+00:00,48.4860269,10.5,0.95,0.0,14.5,0,0,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 05:15:00+00:00,47.9686592,13.0,0.7,0.0,14.4,0,0,0,0.9807852804032304,0.19509032201612833,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 05:30:00+00:00,49.11303217,35.5,0.95,0.0,14.5,0,0,0,0.9914448613738104,0.1305261922200517,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 05:45:00+00:00,52.25377044,81.0,0.6,0.0,14.9,0,0,0,0.9978589232386035,0.06540312923014327,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 06:00:00+00:00,53.54104642,133.0,0.6,0.0,14.75,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 06:15:00+00:00,56.76201787,89.0,0.7,0.0,15.0,0,0,0,0.9978589232386035,-0.06540312923014314,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 06:30:00+00:00,61.36444114,133.5,0.7,0.0,15.4,0,0,0,0.9914448613738104,-0.1305261922200516,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
